player_id,player_name,player_position,team_id,expected_assists,goals_scored,expected_goals_conceded,threat,influence,creativity,expected_goals,saves,goals_conceded,assists,ict_index,expected_goal_involvements,starts,minutes,total_points,clean_sheets
349,Manor Solomon,MID,9,0.78,4,12.18,107.0,214.8,86.0,1.21,0,11,0,40.8,1.99,4,560,44,0
350,Terry Ablade,FWD,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
351,Layvin Kurzawa,DEF,9,0.03,0,4.57,0.0,20.2,4.5,0.0,0,4,0,2.5,0.03,2,136,2,0
352,Willian Borges da Silva,MID,9,2.99,5,34.39,447.0,430.2,658.8,3.46,0,22,7,153.6,6.45,25,2127,116,9
353,Carlos Vinícius Alves Morais,FWD,9,0.72,5,24.8,370.0,244.0,118.3,3.04,0,20,2,72.7,3.76,11,1098,72,1
354,Stefan Parkes,DEF,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
355,Martial Godo,MID,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
356,Kristian Sekularac,MID,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
357,Sasa Lukic,MID,9,0.16,0,9.68,18.0,34.2,16.0,0.13,0,10,0,6.8,0.29,4,406,15,0
358,George Wickens,GKP,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
359,Charlie Robinson,DEF,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
360,Matthew Dibley-Dias,MID,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
361,Kasper Schmeichel,GKP,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
362,Jonny Evans,DEF,11,0.18,0,19.79,35.0,223.8,20.6,0.17,0,28,0,27.9,0.35,12,1051,20,2
363,Ryan Bertrand,DEF,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
364,Marc Albrighton,MID,11,0.41,1,4.04,43.0,76.8,95.2,0.37,0,3,0,21.4,0.78,1,232,13,0
365,Nampalys Mendy,MID,11,0.13,1,12.45,20.0,115.2,42.0,0.13,0,13,0,17.8,0.26,7,746,30,0
366,Jannik Vestergaard,DEF,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
367,Danny Ward,GKP,11,0.0,0,42.87,0.0,631.4,0.0,0.0,77,46,0,63.0,0.0,26,2340,91,6
368,Jamie Vardy,FWD,11,0.7,3,34.77,451.0,287.0,173.5,6.74,0,38,5,90.6,7.44,19,1841,82,4
369,Ricardo Barbosa Pereira,DEF,11,0.7,1,8.35,25.0,148.0,100.2,0.12,0,11,1,27.3,0.82,5,451,20,0
370,Daniel Amartey,DEF,11,0.44,0,27.56,50.0,358.4,79.8,1.07,0,27,0,48.9,1.51,18,1608,51,5
371,Timothy Castagne,DEF,11,2.13,2,60.78,289.0,679.8,377.3,2.16,0,63,4,135.0,4.29,36,3255,114,8
372,Youri Tielemans,MID,11,2.99,3,45.82,190.0,512.2,458.3,2.5,0,49,3,116.2,5.49,27,2341,86,6
373,Ayoze Pérez,MID,11,0.57,0,5.51,92.0,65.2,151.0,1.05,0,5,2,30.9,1.62,3,378,19,1
374,James Maddison,MID,11,5.53,10,47.16,769.0,785.4,970.0,8.5,0,54,9,252.9,14.03,28,2479,135,4
375,Kelechi Iheanacho,FWD,11,1.56,5,22.43,437.0,306.6,228.9,6.86,0,23,5,95.7,8.42,11,1112,82,1
376,Hamza Choudhury,MID,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
377,Harvey Barnes,MID,11,2.33,13,50.76,883.0,567.4,305.1,9.07,0,51,2,175.5,11.4,32,2709,138,6
378,Wilfred Ndidi,MID,11,0.18,0,32.28,45.0,317.6,73.0,0.22,0,39,0,43.2,0.4,19,1672,41,1
379,Kiernan Dewsbury-Hall,MID,11,2.62,2,40.23,233.0,446.6,527.7,2.17,0,41,3,121.0,4.79,28,2305,82,7
380,Çaglar Söyüncü,DEF,11,0.02,1,10.86,53.0,174.6,13.3,0.42,0,13,0,24.1,0.44,6,528,16,0
381,James Justin,DEF,11,0.49,0,21.31,40.0,208.4,138.8,0.31,0,25,2,38.7,0.8,14,1252,45,5
382,Boubakary Soumaré,MID,11,0.47,0,34.51,5.0,236.6,148.7,0.03,0,30,0,39.2,0.5,20,1624,41,6
383,Luke Thomas,DEF,11,0.48,0,23.11,12.0,166.8,89.4,0.09,0,20,1,26.8,0.57,11,1068,28,2
384,Patson Daka,FWD,11,1.69,4,20.81,440.0,295.2,223.6,3.55,0,24,4,95.1,5.24,13,1169,70,5
385,Lewis Brunt,DEF,11,0.01,0,0.78,0.0,2.2,1.0,0.0,0,1,0,0.3,0.01,0,22,1,0
386,Daniel Iversen,GKP,11,0.0,0,21.24,0.0,255.8,0.0,0.0,38,22,0,25.6,0.0,12,1080,29,1
387,Dennis Praet,MID,11,0.43,1,11.82,64.0,96.4,66.9,1.04,0,10,1,22.7,1.47,6,635,34,2
388,Alex Smithies,GKP,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
389,Wout Faes,DEF,11,0.58,1,52.76,93.0,662.4,115.6,1.2,0,51,2,87.1,1.78,31,2786,78,7
390,Sammy Braybrooke,MID,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
