match_id,date,time,home_team_id,away_team_id,fthg,ftag,ftr,hs,as,hst,ast,hc,ac,b365h,b365d,b365a,season_id
130,05/11/2022,17:30,8,11,0,2,A,12,22,2,8,8,3,2.4,3.3,3.0,0
131,06/11/2022,12:00,6,1,0,1,A,5,14,1,2,4,6,2.55,3.4,2.7,0
132,06/11/2022,14:00,2,10,3,1,H,6,8,4,3,3,5,3.3,3.8,2.1,0
133,06/11/2022,14:00,17,15,1,4,A,16,7,5,4,8,2,4.0,3.6,1.9,0
134,06/11/2022,14:00,19,7,1,2,A,5,15,2,6,2,5,1.9,3.4,4.2,0
135,06/11/2022,16:30,18,12,1,2,A,14,13,5,6,5,3,3.3,3.6,2.1,0
136,12/11/2022,12:30,13,4,1,2,A,29,10,6,8,10,2,1.14,8.0,17.0,0
137,12/11/2022,15:00,3,8,3,0,H,16,15,9,3,3,5,2.8,3.25,2.6,0
138,12/11/2022,15:00,12,17,3,1,H,15,9,7,5,6,0,1.25,6.5,11.0,0
139,12/11/2022,15:00,16,7,1,0,H,9,8,2,0,1,5,3.1,3.1,2.45,0
140,12/11/2022,15:00,18,10,4,3,H,14,12,8,5,9,2,1.65,4.2,4.75,0
141,12/11/2022,15:00,19,11,0,2,A,18,9,6,6,7,2,2.05,3.4,3.75,0
142,12/11/2022,17:30,15,6,1,0,H,10,5,3,2,5,3,2.35,3.4,3.0,0
143,12/11/2022,19:45,20,1,0,2,A,11,14,2,4,6,4,6.0,4.2,1.55,0
144,13/11/2022,14:00,5,2,1,2,A,7,8,2,2,11,4,1.83,3.75,4.2,0
145,13/11/2022,16:30,9,10,1,2,A,14,14,7,9,10,3,3.8,3.8,1.9,0
146,26/12/2022,12:30,4,18,2,2,D,9,16,5,8,6,5,4.0,3.6,1.91,0
147,26/12/2022,15:00,7,9,0,3,A,4,23,0,11,1,8,2.05,3.6,3.5,0
148,26/12/2022,15:00,8,20,1,2,A,12,7,6,4,2,2,2.3,3.25,3.2,0
149,26/12/2022,15:00,11,15,0,3,A,8,12,2,5,5,5,3.25,3.5,2.2,0
150,26/12/2022,15:00,17,5,1,3,A,14,7,4,4,4,2,3.3,3.5,2.15,0
151,26/12/2022,17:30,2,12,1,3,A,12,16,6,9,0,6,4.75,4.0,1.7,0
152,26/12/2022,20:00,1,19,3,1,H,16,8,5,4,7,5,1.5,4.33,6.5,0
153,27/12/2022,17:30,6,3,2,0,H,15,9,5,4,6,8,1.3,5.5,10.0,0
154,27/12/2022,20:00,10,16,3,0,H,17,8,8,3,9,9,1.29,5.5,11.0,0
155,28/12/2022,20:00,10,13,1,3,A,9,26,1,9,3,5,9.5,6.0,1.29,0
156,30/12/2022,19:45,19,4,0,2,A,20,9,5,6,8,1,2.0,3.6,3.6,0
157,30/12/2022,20:00,12,11,2,1,H,21,7,5,2,4,5,1.29,6.0,9.5,0
158,31/12/2022,12:30,20,10,0,1,A,10,16,3,6,7,5,4.0,3.6,1.91,0
159,31/12/2022,15:00,3,7,0,2,A,6,15,2,6,2,7,2.8,3.3,2.5,0
160,31/12/2022,15:00,9,17,2,1,H,8,9,2,3,4,4,1.95,3.6,3.75,0
161,31/12/2022,15:00,13,8,1,1,D,16,2,3,1,7,1,1.13,9.0,19.0,0
162,31/12/2022,15:00,15,10,0,0,D,16,8,5,1,9,3,1.45,4.5,7.0,0
163,31/12/2022,17:30,5,1,2,4,A,9,14,5,7,7,4,3.4,3.5,2.1,0
164,01/01/2023,14:00,18,2,0,2,A,6,13,2,4,5,3,1.67,4.0,5.0,0
165,01/01/2023,16:30,16,6,1,1,D,12,7,5,2,1,2,5.0,3.8,1.7,0
166,02/01/2023,17:30,4,12,3,1,H,10,16,7,6,4,9,5.5,4.33,1.55,0
167,03/01/2023,19:45,1,15,0,0,D,17,8,4,1,5,5,1.8,3.8,4.33,0
168,03/01/2023,19:45,8,5,1,4,A,10,19,4,8,5,2,3.5,3.5,2.1,0
169,03/01/2023,19:45,11,9,0,1,A,15,11,6,2,6,3,2.2,3.6,3.1,0
170,03/01/2023,20:00,10,3,3,0,H,18,7,6,4,6,5,1.29,5.5,11.0,0
171,04/01/2023,19:30,17,16,0,1,A,8,11,0,1,6,2,2.0,3.5,3.8,0
172,04/01/2023,19:45,10,19,2,2,D,14,15,6,2,8,1,2.6,3.5,2.6,0
173,04/01/2023,20:00,2,20,1,1,D,13,10,4,3,7,8,1.95,3.6,4.0,0
174,04/01/2023,20:00,7,18,0,4,A,19,14,4,6,10,4,3.4,3.5,2.15,0
175,05/01/2023,20:00,6,13,0,1,A,8,12,2,3,3,2,5.0,4.0,1.67,0
176,12/01/2023,20:00,9,6,2,1,H,8,20,3,10,5,7,3.3,3.5,2.15,0
177,13/01/2023,20:00,2,10,2,1,H,11,16,5,4,0,11,1.91,3.6,4.0,0
178,14/01/2023,12:30,10,13,2,1,H,8,5,4,1,1,2,4.2,3.6,1.85,0
179,14/01/2023,15:00,5,12,3,0,H,16,6,9,2,7,1,3.4,3.6,2.1,0
180,14/01/2023,15:00,8,17,1,2,A,12,13,4,5,6,4,2.25,3.25,3.3,0
181,14/01/2023,15:00,16,11,2,0,H,15,6,5,1,3,5,2.7,3.3,2.63,0
182,14/01/2023,15:00,20,19,1,0,H,17,16,4,4,4,3,2.63,3.3,2.7,0
183,14/01/2023,17:30,4,3,2,0,H,12,7,4,2,5,3,1.65,4.0,5.25,0
184,15/01/2023,14:00,6,7,1,0,H,15,10,5,5,11,7,1.62,4.0,5.25,0
185,15/01/2023,14:00,15,9,1,0,H,20,5,5,0,10,5,1.5,4.33,6.5,0
186,15/01/2023,16:30,18,1,0,2,A,17,14,7,5,4,3,3.1,3.6,2.2,0
187,18/01/2023,20:00,7,10,1,1,D,10,15,5,4,3,3,4.5,3.6,1.8,0
188,19/01/2023,20:00,13,18,4,2,H,16,9,6,3,8,3,1.36,5.0,8.5,0
189,21/01/2023,12:30,12,6,0,0,D,15,11,3,2,5,5,1.85,3.75,4.0,0
190,21/01/2023,15:00,3,16,1,1,D,16,20,4,5,4,6,2.75,3.1,2.75,0
191,21/01/2023,15:00,11,5,2,2,D,9,13,2,4,5,6,3.6,3.5,2.05,0
192,21/01/2023,15:00,17,2,0,1,A,8,16,5,5,2,2,2.88,3.25,2.55,0
193,21/01/2023,15:00,19,8,2,0,H,11,5,4,2,4,9,1.8,3.75,4.75,0
194,21/01/2023,17:30,7,15,0,0,D,6,16,1,7,3,15,4.4,3.5,1.85,0
195,22/01/2023,14:00,10,4,0,0,D,9,6,5,0,2,3,2.38,3.6,2.88,0
196,22/01/2023,14:00,13,20,3,0,H,13,10,7,1,5,7,1.2,8.0,11.0,0
197,22/01/2023,16:30,1,10,3,2,H,25,6,5,4,12,4,1.8,3.8,4.2,0
198,23/01/2023,20:00,9,18,0,1,A,10,10,5,3,3,8,3.3,3.6,2.1,0
199,03/02/2023,20:00,6,9,0,0,D,12,10,3,4,6,2,1.62,4.0,5.25,0
200,04/02/2023,12:30,8,1,1,0,H,12,15,4,3,7,5,8.5,4.5,1.4,0
201,04/02/2023,15:00,2,11,2,4,A,19,9,4,5,11,3,1.95,3.6,3.8,0
202,04/02/2023,15:00,4,17,3,0,H,14,14,4,6,4,4,1.85,3.6,4.2,0
203,04/02/2023,15:00,5,3,1,0,H,20,12,6,2,7,3,1.33,5.25,8.5,0
204,04/02/2023,15:00,10,7,2,1,H,14,10,5,3,5,5,1.4,4.75,8.0,0
205,04/02/2023,15:00,20,12,3,0,H,12,22,6,4,2,7,4.0,3.8,1.85,0
206,04/02/2023,17:30,15,19,1,1,D,8,10,2,1,4,2,1.6,3.8,6.0,0
207,05/02/2023,14:00,16,10,1,0,H,6,10,2,4,0,2,2.63,3.3,2.7,0
208,05/02/2023,16:30,18,13,1,0,H,12,15,3,5,4,6,4.33,4.2,1.73,0
209,08/02/2023,20:00,10,10,2,2,D,24,8,7,2,6,5,1.45,5.0,6.0,0
210,11/02/2023,12:30,19,6,1,1,D,10,12,2,4,5,6,3.3,3.3,2.25,0
211,11/02/2023,15:00,1,4,1,1,D,23,9,7,2,7,4,1.44,4.75,7.0,0
212,11/02/2023,15:00,7,5,1,1,D,6,17,1,7,1,6,3.8,3.5,2.0,0
213,11/02/2023,15:00,9,16,2,0,H,16,10,3,1,5,4,1.91,3.5,4.33,0
214,11/02/2023,15:00,11,18,4,1,H,15,11,7,4,1,5,3.4,3.6,2.1,0
215,11/02/2023,15:00,17,20,1,2,A,17,11,2,2,5,2,2.9,3.2,2.55,0
216,11/02/2023,17:30,3,15,1,1,D,11,15,5,7,4,6,6.5,4.0,1.53,0
217,12/02/2023,14:00,10,10,0,2,A,16,11,6,5,7,3,3.75,3.8,1.91,0
218,12/02/2023,16:30,13,2,3,1,H,17,6,9,2,8,4,1.25,6.5,11.0,0
219,13/02/2023,20:00,12,8,2,0,H,15,6,6,1,3,3,1.5,4.33,6.5,0
220,15/02/2023,19:30,1,13,1,3,A,10,9,1,6,1,3,2.9,3.5,2.35,0
221,18/02/2023,12:30,2,1,2,4,A,7,20,5,5,2,9,4.5,3.6,1.5,0
222,18/02/2023,15:00,4,7,1,1,D,12,10,5,4,2,6,1.83,3.5,4.5,0
223,18/02/2023,15:00,5,9,0,1,A,21,5,7,2,10,2,1.65,3.8,5.5,0
224,18/02/2023,15:00,6,17,0,1,A,17,8,5,5,8,2,1.4,4.75,8.5,0
225,18/02/2023,15:00,8,10,1,0,H,15,8,6,0,6,4,2.4,3.3,3.0,0
226,18/02/2023,15:00,16,13,1,1,D,4,26,1,6,0,10,8.5,5.5,1.3,0
227,18/02/2023,15:00,20,3,0,1,A,15,5,4,1,12,2,1.67,3.6,6.0,0
228,18/02/2023,17:30,15,12,0,2,A,14,13,4,7,6,7,2.5,3.5,2.7,0
229,19/02/2023,14:00,10,11,3,0,H,26,19,8,3,6,6,1.62,4.33,5.25,0
230,19/02/2023,16:30,18,19,2,0,H,16,6,6,1,4,7,1.75,3.6,4.75,0
231,24/02/2023,20:00,9,20,1,1,D,10,8,5,2,4,3,2.5,3.2,3.0,0
232,25/02/2023,15:00,8,2,0,2,A,15,9,5,5,5,1,2.5,3.2,3.0,0
233,25/02/2023,15:00,10,17,1,0,H,14,8,4,2,9,2,1.95,3.5,4.0,0
234,25/02/2023,15:00,11,1,0,1,A,1,10,0,2,0,8,4.75,4.0,1.7,0
235,25/02/2023,15:00,19,16,4,0,H,18,8,5,3,12,3,1.75,3.6,5.0,0
236,25/02/2023,17:30,3,13,1,4,A,13,20,2,5,4,6,10.0,5.75,1.29,0
237,25/02/2023,19:45,7,12,0,0,D,6,12,0,4,5,3,4.75,3.8,1.73,0
238,26/02/2023,13:30,18,6,2,0,H,8,10,3,2,4,4,2.55,3.25,2.9,0
239,01/03/2023,19:45,1,8,4,0,H,15,8,5,5,5,1,1.36,4.75,10.0,0
240,01/03/2023,20:00,12,20,2,0,H,15,4,6,1,5,2,1.5,4.75,6.0,0
241,04/03/2023,12:30,13,15,2,0,H,11,5,3,2,8,4,1.45,4.5,7.0,0
242,04/03/2023,15:00,1,3,3,2,H,31,4,9,4,17,1,1.22,7.0,12.0,0
243,04/03/2023,15:00,2,7,1,0,H,8,3,1,0,2,4,2.05,3.3,3.8,0
244,04/03/2023,15:00,5,19,4,0,H,20,3,9,2,7,3,1.8,3.6,4.5,0
245,04/03/2023,15:00,6,10,1,0,H,13,11,3,2,5,7,1.62,4.0,5.5,0
246,04/03/2023,15:00,20,18,1,0,H,8,21,5,6,4,8,3.3,3.4,2.2,0
247,04/03/2023,17:30,17,11,1,0,H,11,11,5,0,3,4,2.75,3.3,2.6,0
248,05/03/2023,14:00,16,8,2,2,D,10,10,4,3,3,3,2.7,3.0,2.88,0
249,05/03/2023,16:30,12,10,7,0,H,18,8,8,4,4,3,2.38,3.6,2.88,0
250,06/03/2023,20:00,4,9,3,2,H,14,9,6,5,2,3,1.95,3.6,3.75,0
251,11/03/2023,12:30,3,12,1,0,H,5,15,2,6,3,8,7.5,5.0,1.4,0
252,11/03/2023,15:00,8,4,1,0,H,13,12,6,4,5,8,2.7,3.25,2.7,0
253,11/03/2023,15:00,10,5,2,2,D,12,14,4,2,4,7,3.75,3.6,1.95,0
254,11/03/2023,15:00,11,6,1,3,A,17,12,7,6,2,5,3.75,3.5,1.95,0
255,11/03/2023,15:00,18,16,3,1,H,15,9,7,5,2,10,1.44,4.75,7.0,0
256,11/03/2023,17:30,7,13,0,1,A,4,14,0,4,2,6,9.0,4.75,1.36,0
257,12/03/2023,14:00,9,1,0,3,A,12,15,2,7,4,8,6.0,4.0,1.57,0
258,12/03/2023,14:00,10,17,0,0,D,10,17,4,4,7,8,1.36,5.0,9.0,0
259,12/03/2023,14:00,19,2,1,1,D,17,12,6,4,13,2,2.2,3.3,3.4,0
260,12/03/2023,16:30,15,20,2,1,H,19,7,8,4,10,3,1.65,3.75,5.5,0
261,15/03/2023,19:30,5,7,1,0,H,11,11,5,3,1,4,1.44,4.2,8.0,0
262,15/03/2023,19:30,17,4,0,2,A,7,11,1,5,3,3,2.88,3.25,2.5,0
263,17/03/2023,20:00,16,15,1,2,A,5,15,3,4,3,7,5.5,3.8,1.62,0
264,18/03/2023,15:00,2,3,3,0,H,20,10,9,3,9,6,1.7,3.8,5.0,0
265,18/03/2023,15:00,4,11,1,1,D,11,14,2,1,8,4,1.91,3.6,3.75,0
266,18/03/2023,15:00,17,18,3,3,D,19,17,7,3,10,3,4.75,3.6,1.75,0
267,18/03/2023,15:00,20,10,2,4,A,23,11,8,4,5,4,2.25,3.2,3.3,0
268,18/03/2023,17:30,6,8,2,2,D,20,12,7,3,8,2,1.5,4.2,7.5,0
269,19/03/2023,14:00,1,7,4,1,H,15,8,5,4,5,4,1.25,5.5,15.0,0
270,01/04/2023,12:30,13,12,4,1,H,17,4,8,1,7,1,1.62,4.2,5.0,0
271,01/04/2023,15:00,1,10,4,1,H,13,7,6,5,4,3,1.29,6.0,9.0,0
272,01/04/2023,15:00,3,9,2,1,H,12,10,7,2,4,3,2.55,3.3,2.8,0
273,01/04/2023,15:00,5,4,3,3,D,33,7,15,5,14,0,1.67,4.0,5.0,0
274,01/04/2023,15:00,7,11,2,1,H,31,3,9,2,10,1,2.5,3.25,2.9,0
275,01/04/2023,15:00,16,20,1,1,D,17,8,7,1,4,3,3.0,3.1,2.55,0
